strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
Quaker's Cocktail,11/12/2016 14:51,11983,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,Cocktail glass,,Light rum,,,,,,,Brandy,Lemon,Raspberry syrup,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz ,,,,,,,3/4 oz ,Juice of 1/4 ,2 tsp , , , , , ,
Quarter Deck Cocktail,11/12/2016 15:03,11985,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg,Cocktail glass,,Light rum,,,,,,,Sherry,Lime,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1 1/2,,,,,,,1/3 oz cream ,Juice of 1/2 , , , , , ,,
Queen Bee,11/12/2016 15:06,11987,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg,Cocktail glass,,Coffee brandy,,,,,,,Lime vodka,Sherry,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1 1/2 oz ,1/2 oz cream , , , , , ,,
Queen Charlotte,11/12/2016 15:07,11989,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,Collins glass,,Red wine,,,,,,,Grenadine,Lemon-lime soda,,,,,,,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",2 oz ,,,,,,,1 oz ,"
","
","
","
","
","
",,
Queen Elizabeth,11/12/2016 15:08,11991,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg,Cocktail glass,,Dry Vermouth,,,,,,,Gin,Benedictine,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1/2 oz ,,,,,,,1 1/2 oz ,1 1/2 tsp , , , , , ,,
Quentin,11/12/2016 15:09,11993,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg,Cocktail glass,,Dark rum,,,,,,,Kahlua,Light cream,Nutmeg,,,,,,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",1 1/2 oz ,,,,,,,1/2 oz ,1 oz ,1/8 tsp grated , , , , , ,
Quick F**K,11/12/2016 15:10,13198,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,Shot glass,,Kahlua,,,,,,,Midori melon liqueur,Bailey's irish cream,,,,,,,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",1 part ,,,,,,,1 part ,1 part , , , , , ,,
Quick-sand,11/12/2016 15:12,15761,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg,Highball glass,,Black Sambuca,,,,,,,Orange juice,,,,,,,,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",25 ml ,,,,,,,Add 250 ml , , , , , ,,,
Radioactive Long Island Iced Tea,8/24/2017 9:31,16984,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg,Collins Glass,,Rum,,,,,,,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,Pour all ingredients over ice in a very tall glass. Sip cautiously.,1 oz , , , , ,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz , ,
Radler,9/8/2017 17:43,16031,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg,Highball glass,,Beer,,,,,,,7-Up,,,,,,,,"Pour beer into large mug, slowly add the 7-up (or Sprite).",12 oz ,,,,,,,12 oz , , , , , ,,,
Rail Splitter,9/2/2015 16:27,12630,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,Highball glass,,Sugar syrup,,,,,,,Lemon juice,Ginger ale,,,,,,,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,2 tsp ,,,,,,,"
", , , , , ,,,
Raspberry Cooler,9/3/2015 5:25,17167,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg,Highball glass,,Raspberry vodka,,,,,,,Lemon-lime soda,Ice,,,,,,,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,2 oz ,,,,,,,4 oz ,"
","
","
","
","
","
",,
Red Snapper,9/6/2017 23:02,14087,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7p607y1504735343.jpg,Old-fashioned glass,,Crown Royal,,,,,,,Amaretto,Cranberry juice,,,,,,,"One shot each, shake n shoot",1 shot ,,,,,,,1 shot ,1 shot , , , , , ,,
Rose,9/2/2017 17:57,17208,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg,Cocktail glass,Contemporary Classics,Dry Vermouth,,,,,,,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",1/2 oz ,,,,,,,1 oz ,1/2 oz ,1/2 tsp ,1 tsp ,,,,,
Royal Bitch,9/2/2015 17:08,17122,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/qupuyr1441210090.jpg,Shot glass,,Frangelico,,,,,,,Crown Royal,,,,,,,,Into a shot glass layer the Crown Royal on top of the Frangelico.,1 part ,,,,,,,1 part , , , , , ,,,
Royal Fizz,9/2/2017 23:16,12055,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wrh44j1504390609.jpg,Collins glass,,Gin,,,,,,,Sweet and sour,Egg,Coca-Cola,,,,,,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,1 oz ,,,,,,,2 oz ,1 whole ,"
","
","
","
","
","
",
Royal Flush,9/8/2017 17:35,15082,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7rnm8u1504888527.jpg,Old-fashioned glass,,Crown Royal,,,,,,,Peach schnapps,Chambord raspberry liqueur,Cranberry juice,,,,,,Pour all the ingredients into tumbler over ice. Strain into glass.,1 1/2 oz ,,,,,,,1 oz ,1/2 oz ,1 oz , , , , , ,
Royal Gin Fizz,9/6/2017 23:07,12057,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg,Highball glass,,Gin,,,,,,,Lemon,Powdered sugar,Egg,Carbonated water,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",2 oz ,"
",,,,,,Juice of 1/2 ,1 tsp ,1 whole ,"
","
","
","
","
",
Ruby Tuesday,9/6/2015 16:30,17114,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,Highball glass,,Gin,,,,,,,Cranberry juice,Grenadine,,,,,,,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,2 oz ,,,,,,,5 oz ,2 splashes , , , , , ,,
Rum Cobbler,9/2/2017 23:18,12067,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5vh9ld1504390683.jpg,Old-fashioned glass,,Sugar,,,,,,,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",1 tsp superfine , , ,,,,,3 oz ,1,2 oz ,1,1, , , ,
Rum Cooler,9/8/2017 17:37,12071,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg,Collins glass,,Rum,,,,,,,Lemon-lime soda,Lemon,,,,,,,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,2 oz light or dark ,,,,,,,4 oz ,1, , , , , ,,
Rum Milk Punch,9/8/2017 17:40,12087,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg,Collins glass,,Light rum,,,,,,,Milk,Powdered sugar,Nutmeg,,,,,,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,2 oz ,,,,,,,1 cup ,1 tsp ,"
","
","
","
","
","
",
Rum Old-fashioned,9/7/2017 22:44,12089,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,Old-fashioned glass,,Light rum,,,,,,,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,,,,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",1 1/2 oz , , ,,,,,1 tsp ,1/2 tsp ,1 dash ,1 tsp ,Twist of , , , ,
Rum Punch,9/6/2015 16:48,14978,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg,Punch bowl,,Rum,,,,,,,Ginger ale,Fruit punch,Orange juice,Ice,,,,,Mix all ingredients in a punch bowl and serve.,mikey bottle , ,,,,,,large bottle ,355 ml frozen ,355 ml frozen ,crushed , , , , ,
Rum Runner,9/8/2017 17:40,16250,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg,Cocktail glass,,Malibu rum,,,,,,,Blackberry brandy,Orange juice,Pineapple juice,Cranberry juice,,,,,Mix all ingredients in glass & add ice.,1 1/2 oz , ,,,,,,1 oz ,3-4 oz ,3-4 oz ,3-4 oz , , , , ,
Rum Screwdriver,9/8/2017 16:59,12091,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwl7v81504886372.jpg,Highball glass,,Light rum,,,,,,,Orange juice,,,,,,,,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",1 1/2 oz ,,,,,,,5 oz , , , , , ,,,
Rum Sour,9/8/2017 16:58,12093,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,Whiskey sour glass,,Light rum,,,,,,,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",2 oz , ,,,,,,1 oz ,1/2 tsp superfine ,1,1, , , , ,
Rum Toddy,9/8/2017 16:58,12097,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,Old-fashioned glass,,Rum,,,,,,,Powdered sugar,Lemon peel,Water,,,,,,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,2 oz light or dark ,,,,,,,2 tsp ,1 twist of ,2 tsp , , , , , ,
Russian Spring Punch,9/2/2017 18:31,17214,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg,Highball glass,New Era Drinks,Vodka,,,,,,,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,"Pour the ingredients into an highball glass, top with Sparkling wine.",2.5 cl,,,,,,,1.5 cl,1 cl,2.5 cl,, , ,,,
Rusty Nail,11/4/2016 9:49,12101,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,Old-fashioned glass,Unforgettables,Scotch,,,,,,,Drambuie,Lemon peel,,,,,,,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,1 1/2 oz ,,,,,,,1/2 oz ,1 twist of , , , , , ,,
Salty Dog,9/8/2017 18:03,12107,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Highball glass,,Grapefruit juice,,,,,,,Gin,Salt,,,,,,,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",5 oz ,,,,,,,1 1/2 oz ,1/4 tsp , , , , , ,,
San Francisco,9/8/2017 17:59,15184,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,Highball glass,,Vodka,,,,,,,Creme de Banane,Grenadine,Orange juice,,,,,,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",2 cl ,,,,,,,2 cl ,"
", , , , , ,,
Sangria #1,9/3/2015 4:01,13020,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg,Pitcher,,Red wine,,,,,,,Sugar,Orange juice,Lemon juice,Cloves,Cinnamon,,,,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,1 bottle , ,,,,,,1/2 cup ,1 cup ,1 cup ,"
", , , , ,
Sangria - The World's Best,7/19/2016 11:31,13026,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vysywu1468924264.jpg,Pitcher,,Red wine,,,,,,,Sugar,Lemon,Orange,Apple,Brandy,Soda water,,,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",1 1/2 L ,"
","
","
",,,,1 cup ,1 large ,1 large ,1 large ,3-4 oz plain ,"
","
","
",
Sazerac,8/18/2015 15:13,12127,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,Old-fashioned glass,Unforgettables,Ricard,,,,,,,Sugar,Peychaud bitters,Water,Bourbon,Lemon peel,,,,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",1 tsp , , ,,,,,1/2 tsp superfine ,2 dashes ,1 tsp ,2 oz ,1 twist of , , , ,
Scooter,1/2/2017 20:18,12130,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,Cocktail glass,,Brandy,,,,,,,Amaretto,Light cream,,,,,,,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
Scotch Cobbler,9/6/2017 23:17,12138,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1q7coh1504736227.jpg,Old-fashioned glass,,Scotch,,,,,,,Brandy,Curacao,Orange,Mint,,,,,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",2 oz , ,,,,,,4 dashes ,4 dashes ,1 slice ,1, , , , ,
Scotch Sour,9/8/2017 18:07,12158,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg,Whiskey sour glass,,Scotch,,,,,,,Lime,Powdered sugar,Lemon,Cherry,,,,,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",1 1/2 oz , ,,,,,,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1, , , , ,
Scottish Highland Liqueur,9/3/2015 5:10,12854,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,Collins Glass,,Johnnie Walker,,,,,,,Honey,Angelica root,Fennel seeds,Lemon peel,,,,,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking.",1 fifth , ,,,,,,1 1/2 cup mild ,2 tsp dried and chopped ,1/4 tsp crushed ,2 2 inch strips , , , , ,
Screaming Orgasm,9/2/2017 22:44,13625,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/x894cs1504388670.jpg,Cocktail glass,,Vodka,,,,,,,Bailey's irish cream,Kahlua,,,,,,,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",1 oz ,,,,,,,1 1/2 oz ,1/2 oz , , , , , ,,
Screwdriver,9/2/2017 12:36,12162,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,Highball glass,Unforgettables,Vodka,,,,,,,Orange juice,,,,,,,,Mix in a highball glass with ice. Garnish and serve.,2 oz ,,,,,,,,,,,,,,,
Sea breeze,9/2/2017 17:59,13377,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,Highball glass,Contemporary Classics,Vodka,,,,,,,Cranberry juice,Grapefruit juice,,,,,,,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,1 1/2 oz ,,,,,,,4 oz ,1 oz , , , , , ,,
Sex on the Beach,7/21/2016 10:12,12754,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Highball glass,Contemporary Classics,Vodka,,,,,,,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,1 oz ,,,,,,,3/4 oz ,, , , , , ,,
Shanghai Cocktail,11/10/2016 23:31,12186,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Cocktail glass,,Light rum,,,,,,,Anisette,Grenadine,Lemon,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz Jamaican ,,,,,,,1 tsp ,1/2 tsp ,Juice of 1/4 , , , , , ,
Shark Attack,9/7/2017 15:07,16273,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Pitcher,,Lemonade,,,,,,,Water,Vodka,,,,,,,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,1 can ,,,,,,,3 cans ,1 1/2 cup , , , , , ,,
Sherry Eggnog,11/10/2016 23:29,12188,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Collins glass,,Sherry,,,,,,,Powdered sugar,Egg,Milk,Nutmeg,,,,,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",2 oz cream ,,,,,,,1 tsp ,1 whole ,"
", , , , , ,
Sherry Flip,11/10/2016 23:27,12190,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Whiskey sour glass,,Sherry,,,,,,,Light cream,Powdered sugar,Egg,Nutmeg,,,,,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,1 1/2 oz cream ,"
",,,,,,2 tsp ,1 tsp ,1 whole ,"
","
","
","
","
",
Shot-gun,8/24/2017 9:33,16985,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,Shot glass,,Jim Beam,,,,,,,Jack Daniels,Wild Turkey,,,,,,,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,1 part ,,,,,,,1 part ,1 oz , , , , , ,,
Sidecar,8/18/2015 15:07,12196,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Cocktail glass,Unforgettables,Cognac,,,,,,,Cointreau,Lemon juice,,,,,,,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,2 oz ,,,,,,,1/2 oz ,1 oz , , , , , ,,
Sidecar Cocktail,9/7/2017 22:40,12198,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,Cocktail glass,,Brandy,,,,,,,Triple sec,Lemon,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1/2 oz ,Juice of 1/4 , , , , , ,,
Singapore Sling,8/18/2015 14:58,12214,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,Hurricane glass,Contemporary Classics,Cherry brandy,,,,,,,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,1/2 oz ,,,,,,,1/2 oz ,1 oz ,2 oz ,,,,,,
Sloe Gin Cocktail,9/8/2017 17:52,12224,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,Cocktail glass,,Sloe gin,,,,,,,Dry Vermouth,Orange bitters,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",2 oz ,,,,,,,1/4 tsp ,1 dash , , , , , ,,
Smut,9/2/2017 16:23,17141,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Beer mug,,Red wine,,,,,,,Peach schnapps,Pepsi Cola,Orange juice,,,,,,Throw it all together and serve real cold.,1/3 part ,,,,,,,1 shot ,1/3 part ,1/3 part , , , , , ,
Snake Bite (UK),9/3/2015 3:52,13389,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,Pint glass,,Lager,,,,,,,Cider,,,,,,,,Pour ingredients into a pint glass. Drink. Fall over.,1/2 pint ,,,,,,,1/2 pint sweet or dry , , , , , ,,,
Snakebite and Black,9/3/2015 3:54,15789,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,Pint glass,,Lager,,,,,,,Cider,Blackcurrant squash,,,,,,,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,1/2 pint ,,,,,,,1/2 pint ,A little bit of , , , , , ,,
Snowball,9/6/2017 23:03,14195,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,Highball glass,,Advocaat,,,,,,,Lemonade,Lemon,Ice,,,,,,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,1 1/2 oz ,,,,,,,8-10 oz cold ,1 slice ," cubes
","
","
","
","
","
",
Sol Y Sombra,8/22/2017 19:19,12256,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy snifter,,Brandy,,,,,,,Anisette,,,,,,,,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",1 1/2 oz ,,,,,,,1 1/2 oz , , , , , ,,,
Space Odyssey,9/7/2017 21:57,15226,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Highball glass,,151 proof rum,,,,,,,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,1 shot Bacardi , ,,,,,,1 shot ,1 shot ,"
","
", , , , ,
Spanish chocolate,2/20/2017 15:04,12750,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,Coffee mug,,Milk,,,,,,,Chocolate,Cinnamon,Egg yolk,,,,,,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug.",2 cups ,,,,,,,2 oz sweet ,1/2 tsp ,2 beaten , , , , , ,
Spiced Peach Punch,7/19/2016 11:32,13032,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Collins Glass,,Peach nectar,,,,,,,Orange juice,Brown sugar,Cinnamon,Cloves,Lime juice,,,,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",46 oz , , ,,,,,20 oz ,1/2 cup ,3 3-inch ,1/2 tsp ,2 tblsp , , , ,
Spiking coffee,2/20/2017 14:52,12780,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,Coffee mug,,Coffee,,,,,,,Cinnamon,,,,,,,,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.","
",,,,,,, , , , , ,,,,
Spritz,9/2/2017 18:34,17215,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-Fashioned glass,New Era Drinks,Prosecco,,,,,,,Campari,Soda Water,,,,,,,"Build into glass over ice, garnish and serve.",6 cl,,,,,,,4 cl,splash,,, , ,,,
Stinger,9/2/2017 12:40,17193,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Cocktail glass,Unforgettables,Brandy,,,,,,,White Creme de Menthe,,,,,,,,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",1 1/2 oz ,,,,,,,1/2 oz , , , , , ,,,
Stone Sour,9/1/2016 9:51,12308,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Whiskey sour glass,,Apricot brandy,,,,,,,Orange juice,Sweet and sour,,,,,,,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
Strawberry Daiquiri,9/6/2017 23:15,12316,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Cocktail glass,,Strawberry schnapps,,,,,,,Light rum,Lime juice,Powdered sugar,Strawberries,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1/2 oz , ,,,,,,1 oz ,1 oz ,1 tsp ,1 oz , , , , ,
Strawberry Lemonade,7/19/2016 11:33,13036,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,Collins Glass,,Lemon,,,,,,,Sugar,Strawberries,Water,,,,,,Throw everything into a blender and mix until fairly smooth. Serve over ice.,Juice of 1 ,,,,,,,1 tblsp ,8-10 ripe ,1 cup , , , , , ,
